Title, Artist, Genre, Verse1, Verse2, Verse3, Verse4, Verse5, Verse6, Verse7, Verse8, Chorus1, Chorus2, Chorus3, Chorus4, Chorus5, Chorus6, Chorus7, Chorus8
Double Lariat - featuring Megurine Luka,Agoaniki-P,Vocal,,,,,,,,,,,,,,,,
Strong Ones,Armin van Buuren feat Cimo Frankel,Vocal,,,,,,,,,,,,,,,,
Hoist the Colours,Hans Zimmer,Vocal,F,D-,F,F,F,C,C,C,,,,,,,,
Rhythm Heaven Fever - I Feel Fine,Tsunku,Vocal,,,,,,,,,,,,,,,,
Crazy,Aerosmith,Vocal,,,,,,,,,A,F#,D,D,A,F#,D,E
Hide And Seek,Imogen Heap,Vocal,A,E,F#,D,D,A,E,F#,A,E,F#7,D,D,F#,F#,A
Ohrwurm,Wise Guys,Vocal,,,,,,,,,F#,F#,D#,C#7,B,G#7,G#,C#7
Fly to Paradise,Eric Whitacre,Vocal,,,,,,,,,E-,E-,G,G7,D,A-,,
Build The Cities Grabbitz Remix,Karma Fields,Vocal,,,,,,,,,,,,,,,,
Stitches,Shawn Mendes,Vocal,,,,,,,,,B-,A-,D-,G-,B-,A-,G-,D-
Mischievous Function - Ochame kinou,Gojimaji-P,Vocal,E,B,C#,C#,D#,E,B,C#,E,B,C#,C#,D#,E,B,C#
Artificial Children,IOSYS,Vocal,,,,,,,,,,,,,,,,
Rhythm Heaven Fever - Dreams of our Generation,Tsunku,Vocal,,,,,,,,,,,,,,,,
Children's Festival - for Wedding,Uni Akiyama,Vocal,B-,C,B-,C,B-,C,D,D,,,,,,,,
Rhythm Heaven Fever - I Love You,Tsunku,Vocal,C#,C#,B,B,A,A,G#,G#,,,,,,,,
Mr Sandman,The Chordettes,Vocal,Amaj7,E7,E7,E7,E7,E7,A,F#7,,,,,,,,
Die Lorelei,RD-Sounds - Diao Ye Zong,Vocal,,,,,,,,,Bmaj7,Bmaj7,C#,C#,D#,D#,D#,A#
Ubi Caritas,Ola Gjeilo,Vocal,,,,,,,,,,,,,,,,
Clouds Over the Moon Flowers in the Wind,Yuuhei Satellite,Vocal,,,,,,,,,,,,,,,,
Enormous Penis,Da Vinci's Notebook,Vocal,,,,,,,,,E,E,B,B,B,B7,B7,B7
Bright Eyes,Art Garfunkel,Vocal,G,C,G,E,C,G,D,D,B,C,D,B,C,A,D,E
Libera Me From Hell,Taku Iwasaki,Vocal,,,,,,,,,C#,C#,A,B,C#,C#,A,B
Tom's Diner,Suzanne Vega,Vocal,,,,,,,,,F#7,F#7,E,E,F#7,F#7,E,E
Only You,The Platters,Vocal,E-,B-7,C,B-7,A-,B-7,E-,B-7,,,,,,,,
The Longest Time,Billy Joel,Vocal,E-,A-,E-,E-,B-7,B-,B-7,C,E-,B-,E-,A-,B-7,E-,B-,E-
Du Doof,Wise Guys,Vocal,,,,,,,,,,,,,,,,
Where In The World Is Carmen Sandiego,Rockapella,Vocal,F,B-,C,G,F,B-,C,G,,,,,,,,
The East Is Red,Li Huanzhi,Vocal,,,,,,,,,,,,,,,,
I Saw The Sign,Barden Bellas - Pitch Perfect,Vocal,,,,,,,,,,,,,,,,
Reno,Red Vox,Vocal,E,E,E,E,A,A,A,A,,,,,,,,
The Fall,Rhye,Vocal,,,,,,,,,,,,,,,,
Okami - Reset,Capcom,Vocal,A,E,A,E,A,E,D,E7,F,G,A,E7,F,G,C,Fmaj7
Monochrome in the Night,Touhou Shibayan Feat 3L,Vocal,,,,,,,,,,,,,,,,
Peanut Butter and Jelly,InsideOut A Cappella,Vocal,,,,,,,,,F,B-,F,B-,F,C,F,B-
Deutschland,Die Prinzen,Vocal,A-,D-,E-,A-,D-,E-,A-,D-,A-,D-,E-,A-,D-,E-,A-,D-
Marisa Stole The Precious Thing,IOSYS,Vocal,,,,,,,,,A,G,F,F,G,F,E,A
ChRoNiClESeVeN,sasakureUK,Vocal,,,,,,,,,,,,,,,,
Ievan Polkka - Leekspin,Loituma,Vocal,,,,,,,,,,,,,,,,
Tomodachi Collection - Map - Day,Daisuke Shiiba,Video Game,E7,A7,E7,A7,C#,F#7,A7,F#7,,,,,,,,
Running From Evil - Doom II Soundtrack,Bobby Prince,Video Game,,,,,,,,,,,,,,,,
Mega Man Soccer - Wily's Field,Capcom,Video Game,,,,,,,,,,,,,,,,
Domina - Boom,bignic,Video Game,,,,,,,,,,,,,,,,
Faster than Light - Civil Battle,Ben Prunty,Video Game,Dmaj7,A,Dmaj7,A,Dmaj7,A,Dmaj7,A,,,,,,,,
Escape from the City,Crush 40,Video Game,,,,,,,,,B,G#,G#,A#,E,G#,A#,B
Main Stage Theme,Bubble Bobble,Video Game,,,,,,,,,,,,,,,,
Title Screen,Buck Bumble,Video Game,A,C,F,E,A,C,F,E,,,,,,,,
On To Grasstown,Cave Story,Video Game,C,C,B-,B-,C,C,B-,B-,C,G,F,F,C,G,F,F
Zelda II - The Adventure of Link - Temple,Akito Nakatsuka,Video Game,,,,,,,,,G,F,E-,F,,,,
Aria Math,C418,Video Game,,,,,,,,,,,,,,,,
Doki Doki Literature Club OST - Your Reality,Dan Salvato,Video Game,C,A,F,G,C,A,F,G,C,D,G,C,A,D,G,C
Downstream,Braid Soundtrack,Video Game,E,G#,A,G#,A,D,D,E,A,F#,E,D,E,A,F#,D
Town of Salem - Godfather and his Little Friend,Blank Media Games,Video Game,,,,,,,,,,,,,,,,
Mega Man and Bass - Tengu Man Stage,Capcom,Video Game,A-maj7,D7,B-,C7,B-7,A-maj7,A-maj7,E-maj7,G,C7,C,G,C7,C,F7,C7
Jazz Jackrabbit 2 - Castle,Alexander Brandon,Video Game,F,E-,F,E-,F,E-,F,E-,,,,,,,,
Goodbye Baby,Austin Jorgensen,Video Game,,,,,,,,,E,C,D,E,E,C,D,E
Mega Man 10 - Abandoned Memory,Capcom,Video Game,,,,,,,,,,,,,,,,
Resident Evil 6 - Mercenaries,Akihiko Narita,Video Game,A-,F,E-,E-,C,A-,F,E-,,,,,,,,
Heroes - MW3 Soundtrack,Brian Tyler,Video Game,,,,,,,,,,,,,,,,
The Binding Of Isaac - Main Theme,Danny Baranowsky,Video Game,,,,,,,,,C,G,A,A,D,D,C,B-
Menu Theme - BattleBlock Theater,Analogik,Video Game,A,,,,,,,,,,,,,,,
Mega Man X3 - Crush Crawfish Stage,Capcom,Video Game,C,E-,E-,F,A-,G,C,E-,,,,,,,,
Action 52 - Dam Busters,Action Enterprises,Video Game,C,Fmaj7,C,Fmaj7,C,Fmaj7,C,Fmaj7,,,,,,,,
Phoenix,All Levels at Once,Video Game,D#,E#,D#,A#7,D#,E#,D#,A#7,D#,B,F#,C#,D#,B,F#,C#
Kaite Tukutte Asoberu Dezaemon - Editor Music 1,Athena,Video Game,Dmaj7,E7,C#7,Dmaj7,B7,C#7,F#7,Dmaj7,,,,,,,,
Rock Club,Anamanaguchi,Video Game,,,,,,,,,D-maj7,C7,D-maj7,C7,D-maj7,E-,C,F
Farmer Sim 2015 Menu Music,Alexandru Marusac,Video Game,,,,,,,,,,,,,,,,
Queen's Gardens,Christopher Larkin,Video Game,E,E,E,A,B,E,E,E,,,,,,,,
Prayer,Akamajou Densetsu,Video Game,,,,,,,,,,,,,,,,
Metal Gear Solid - Peace Walker Main Theme,Akihiro Honda,Video Game,,,,,,,,,D#,B,F#,C#,C#,D#,B,F#
Running Hell,Cave Story,Video Game,D,C,D,C,B-,D,A,B-,,,,,,,,
Sogno Di Volare,Christopher Tin,Video Game,,,,,,,,,G7,E-,F,B-,B-,E-,E-,B-
Last Battle,Cave Story,Video Game,,,,,,,,,C,G,E-,F,A-,G,C7,C
Deus Ex Main Title,Alexander Brandon,Video Game,,,,,,,,,A,G,A,G,C,G,G,A
Help me ERINNNNNN,Cool and Create,Video Game,,,,,,,,,A,E,F#,C#,D,A,B,E
Hyperdimension Neptunia U - Black Brave,Akihi Motoyama,Video Game,D,Gmaj7,D,A,B7,A7,A7,A7,,,,,,,,
Leaving Earth ,Clint Mansell,Video Game,,,,,,,,,,,,,,,,
RollerCoaster Tycoon 2 Theme,Allister Brimble,Video Game,,,,,,,,,E,B,B,D#,D#,F#,F#,C#
Sweet Treasure,Ayachi Nene,Video Game,,,,,,,,,B-maj7,C,C7,D,C,D,E,B-maj7
Super Hexagon Theme 1,Chipzel,Video Game,B-,B-,B-,B-,G-,G-,A-,F,B-,B-,B-,B-,G-,G-,A-,A-
Last Cave,Cave Story,Video Game,,,,,,,,,,,,,,,,
I Stand Alone - MW3 Soundtrack,Brian Tyler,Video Game,,,,,,,,,,,,,,,,
Faster Than Light - Last Stand,Ben Prunty,Video Game,C#,C#,F#,C#,A,G#,C#,E,F#,A,C#,B,F#,A,C#,B
Spectromancer - Truth and Beauty,Apus Software,Video Game,,,,,,,,,,,,,,,,
Scorching Back,Cave Story,Video Game,,,,,,,,,,,,,,,,
Mario Kart Wii - Rainbow Road,Asuka Ota,Video Game,,,,,,,,,,,,,,,,
Mega Man and Bass - Intro Museum,Capcom,Video Game,C7,F,C7,D7,G,C7,F,C7,F7,D7,C7,F,A-maj7,D,F7,D7
Gensou Shoujo Taisen Ei - LUNATIC GUARDIAN,cobu,Video Game,,,,,,,,,,,,,,,,
Mega Man and Bass - Cold Man Stage,Capcom,Video Game,,,,,,,,,,,,,,,,
Mega Man 7 - Dr Wily Stage 1,Capcom,Video Game,G#,F#,C#,D,G#7,E,F#,C#,,,,,,,,
Call of Duty MW3 - Main Theme,Brian Tyler,Video Game,,,,,,,,,E,G#,B,A,E,C#,B,A
Far Cry 3,Brian Tyler,Video Game,,,,,,,,,,,,,,,,
Coalescence,Chris Christodoulou,Video Game,G,D,F,C,A,C,D,G,,,,,,,,
Knight Of The Wind,Crush 40,Video Game,,,,,,,,,,,,,,,,
Love Live Sunshine S2 - WATER BLUE NEW WORLD,Aqours,Video Game,,,,,,,,,,,,,,,,
Map Music,Boulder Dash,Video Game,,,,,,,,,E,Amaj7,B,C#,B,A,G#,B
Baba Yetu,Christopher Tin,Video Game,,,,,,,,,D,D,B,G,A,D,D,B
Warning Call,CHVRCHES,Video Game,,,,,,,,,A,B,C#,C#,E,E,A,A
Main Theme,Cave Story,Video Game,,,,,,,,,D#,B,C#,D#,B,C#,,
The Legendary Theme,COIL,Video Game,E,E,A,A,E,E,A,A,,,,,,,,
Beach,Bart Roijmans,Video Game,,,,,,,,,,,,,,,,
Following Stanley - The Stanley Parable,Blake Robinson,Video Game,,,,,,,,,F,C,F,C,A,C,A,C
Athletic World - Hop-a-Log,Bandai,Video Game,D,G,D,A,D,G,D,A,,,,,,,,
The Blond Sailor - RCT2,Allister Brimble,Video Game,,,,,,,,,,,,,,,,
Die Anywhere Else,Alec Holowka and Scott Benson,Video Game,C,E-,A-,A-,B-,B-,E-,A-,,,,,,,,
Super Turrican,Chris Huelsbeck,Video Game,D,B,G,G,D,,,,,,,,,,,
RollerCoaster Tycoon 1 Theme,Allister Brimble,Video Game,,,,,,,,,,,,,,,,
The Gluten Free Mambo Tango Experience,andres,Video Game,Fmaj7,E7,A7,D7,G7,C7,Fmaj7,B-maj7,Cmaj7,Cmaj7,Fmaj7,B7,E7,E7,Cmaj7,E7
Courtesy,Chipzel,Video Game,,,,,,,,,D#,D#,E,E,F#,F#,G#,G#
Corridor Of Death,Damjan Mravunac,Video Game,,,,,,,,,,,,,,,,
Build that wall,Bastion,Video Game,,,,,,,,,,,,,,,,
Zelda II - The Adventure of Link - Village,Akito Nakatsuka,Video Game,,,,,,,,,,,,,,,,
Factorio - Sentient,Daniel James Taylor,Video Game,,,,,,,,,,,,,,,,
Shine Bros,Anamanaguchi,Video Game,F#,G#,A,D,A,B,C#,D,,,,,,,,
Mega Man X - Flame Mammoth,Capcom,Video Game,F,B-,B-,B-,C,F,B-,B-,,,,,,,,
Promise,Akira Yamaoka,Video Game,,,,,,,,,,,,,,,,
Setting Sail Coming Home,Bastion,Video Game,C,F,E-,G,C,F,E-,G,,,,,,,,
Otis,Chipzel,Video Game,E,E,G,A,C,C,C,G,E,E,E,E,C,C,G,G
Mega Man 9 - Strange World,Capcom,Video Game,C,B-,E-,D7,G,C,B-,E-,,,,,,,,
Live And Learn,Crush 40,Video Game,,,,,,,,,,,,,,,,
Okami - Reset,Capcom,Video Game,A,E,A,E,A,E,D,E7,F,G,A,E7,F,G,C,Fmaj7
Takuto Kitsuta,All Star Rest Area,Video Game,,,,,,,,,,,,,,,,
Mega Man and Bass - Ground Man Stage,Capcom,Video Game,E7,A,Cmaj7,A,F#7,,,,A,F#7,E,A,Cmaj7,A7,F#7,B7
Beginning,Akumajou Densetsu,Video Game,D,E,E,D,E,A,D,E,,,,,,,,
Zulf's Theme,Bastion Soundtrack,Video Game,C,F,E-,B-,C,F,E-,B-,E-,B-,E-,B-,,,,
Apocalypse,All Levels at Once,Video Game,G#,B,F#,E,G#,B,F#,E,Emaj7,C#,F#,D#,G#,G#,Emaj7,C#
Street Fighter Alpha - Charlie's Theme,Capcom,Video Game,A,G,F,G,A,D7,A,G,,,,,,,,
Professor Layton vs Ace Attorney - Casting Magic,Capcom,Video Game,D#,B,C#,C#,Bmaj7,C#,C#,D#,,,,,,,,
Mega Man 9 - Plug Man Stage,Capcom,Video Game,A,G,A,G,Fmaj7,G,D7,,,,,,,,,
Roller Mobster,Carpenter Brut,Video Game,,,,,,,,,C,E-,G,G,G,A,G,G
Mega Man 7 - Burst Man Stage,Capcom,Video Game,G,C,G,C,E-,D,C,D,,,,,,,,
Mega Man 10 - King of Blades,Akari Kaida,Video Game,G#,B,D#,B,G#,G#,B,D#,,,,,,,,
Another Winter,Anamanaguchi,Video Game,,,,,,,,,,,,,,,,
The Dark One,Anamanaguchi,Video Game,E,C,D,,,,,,E,E,E,E,C,C,C,C
Mega Man 4 - Pharaoh Man Stage,Capcom,Video Game,,,,,,,,,,,,,,,,
Angry Birds Theme,Ari Pulkkinen,Video Game,,,,,,,,,E,E,G#,E,E,E,G#,E
Eyes of Flame,Cave Story,Video Game,,,,,,,,,,,,,,,,
Okami - Yami,Capcom,Video Game,C,C,C,G,G,G,C,C,,,,,,,,
Futari Saison,Keyakizaka46,J-Pop,A-,E-,F7,C7,D-maj7,C7,B-7,E-7,D-maj7,E-,C7,F7,D-maj7,E-,C7,F7
Mondai Girl,Kyary Pamyu Pamyu,J-Pop,Gmaj7,B7,A,Gmaj7,A,B7,A,Gmaj7,,,,,,,,
Asu e no Houkou,JAM Project,J-Pop,C#,A,E,B,C#,F#,F#,G#,C#,E,A,B,B,E,F#,G#
Liminality,FELT,J-Pop,C7,A-maj7,C7,A-maj7,C7,A-maj7,C7,C7,A#,Bmaj7,C#,D#7,Bmaj7,C#,D#7,Bmaj7
Double Lariat - featuring Megurine Luka,Agoaniki-P,J-Pop,,,,,,,,,,,,,,,,
Roaring Tides,Clannad OST,J-Pop,,,,,,,,,,,,,,,,
Renai Circulation--Bakemonogatari OP4,Kana Hanazawa-Satoru Kousaki-meg rock,J-Pop,,,,,,,,,,,,,,,,
Love Live - Silent tonight,BiBi,J-Pop,,,,,,,,,,,,,,,,
Artificial Children,IOSYS,J-Pop,,,,,,,,,,,,,,,,
Futari no Mojipittan,Kotoba no Puzzle,J-Pop,,,,,,,,,,,,,,,,
Here And There Acchi Kocchi,DATEKEN--Kagamine Rin,J-Pop,,,,,,,,,,,,,,,,
Koi,Hoshino Gen,J-Pop,,,,,,,,,,,,,,,,
Love Live Sunshine S2 - WATER BLUE NEW WORLD,Aqours,J-Pop,,,,,,,,,,,,,,,,
Ambiguous - Kill La Kill KLK Opening 2,GARNiDELiA,J-Pop,,,,,,,,,,,,,,,,
Ponytail to Shushu,AKB48,J-Pop,,,,,,,,,,,,,,,,
Hatsukoi,Kojima Mayumi,J-Pop,,,,,,,,,,,,,,,,
Binks No Sake,Kohei Tanaka,J-Pop,,,,,,,,,,,,,,,,
Furisodation,Kyary Pamyu Pamyu,J-Pop,,,,,,,,,,,,,,,,
Perfume,Fusq,J-Pop,,,,,,,,,,,,,,,,
GONG,JAM Project,J-Pop,,,,,,,,,,,,,,,,
Hitorigoto,ClariS,J-Pop,,,,,,,,,,,,,,,,
Uchuu Senkan Yamato,Isao Sasaki,J-Pop,,,,,,,,,,,,,,,,
Blend-S OP,Blend A,J-Pop,,,,,,,,,,,,,,,,
What's Up,4 Non Blondes,Folk,,,,,,,,,,,,,,,,
Kalevala Melody,Ensiferum,Folk,,,,,,,,,,,,,,,,
Heart Is A Drum,Beck,Folk,,,,,,,,,,,,,,,,
Morning,Beck,Folk,,,,,,,,,,,,,,,,
Goodbye Kiss,Kasabian,Folk,,,,,,,,,,,,,,,,
Oh Comely,Neutral Milk Hotel,Folk,,,,,,,,,,,,,,,,
Rabbit Heart,Florence and the Machine,Folk,,,,,,,,,,,,,,,,
Gibraltar,Beirut,Folk,,,,,,,,,,,,,,,,
Acts of Man,Midlake,Folk,,,,,,,,,,,,,,,,
Bible Days,Jessica Lea Mayfield,Folk,,,,,,,,,,,,,,,,
Islandsljod,Icelandic Folk,Folk,,,,,,,,,,,,,,,,
Congratulations,MGMT,Folk,,,,,,,,,,,,,,,,
pianoman,billy joel,Folk,,,,,,,,,,,,,,,,
Cherry Wine,Hozier,Folk,,,,,,,,,,,,,,,,
Step Out,Jose Gonzales,Folk,,,,,,,,,,,,,,,,
Inis Mona,Eluveitie,Folk,,,,,,,,,,,,,,,,
Major Minus,Coldplay,Folk,,,,,,,,,,,,,,,,
Firefly - Main Title,Joss Whedon,Folk,,,,,,,,,,,,,,,,
June and Johnny,Jon Foreman,Folk,,,,,,,,,,,,,,,,
Vodka,Korpiklaani,Folk,,,,,,,,,,,,,,,,
Hard To Say Im Sorry,Chicago,Folk,,,,,,,,,,,,,,,,
The East Is Red,Li Huanzhi,Folk,,,,,,,,,,,,,,,,
Better Be Home Soon,Crowded House,Folk,,,,,,,,,,,,,,,,
Women Of Ireland,Mike Oldfield,Folk,,,,,,,,,,,,,,,,
Fichtl's Lied,Die Woodys,Folk,,,,,,,,,,,,,,,,
Katyusha,Matvei Blanter,Folk,,,,,,,,,,,,,,,,
Ievan Polkka - Leekspin,Loituma,Folk,,,,,,,,,,,,,,,,
You're So Vain,Carly Simon,Folk,,,,,,,,,,,,,,,,
The Rose,Janis Joplin,Folk,,,,,,,,,,,,,,,,
Message In A Bottle,The Police,Reggae,,,,,,,,,,,,,,,,
Wedding Dress,Taeyang,Reggae,,,,,,,,,,,,,,,,
Long Train Runnin',The Doobie Brothers,Reggae,,,,,,,,,,,,,,,,
Exodus,Bob Marley,Reggae,,,,,,,,,,,,,,,,
Bongo Bong,Manu Chao,Reggae,,,,,,,,,,,,,,,,
